Lat,Long,ArcV,ArcL,DAZ,Crescent Width,MA,JD,Ele,Visibility,Lag_minutes
48.14,11.58,-1.03,10.14,10.09,15.62,-15.81,2457514.65,518.06,1,7.0
50.2,8.58,-1.44,9.94,9.84,13.59,18.16,2457220.32,201.89,0,-11.0
48.14,11.58,-1.11,9.77,9.72,13.15,17.86,2457220.3,518.06,1,-7.0
32.9,13.18,-1.98,5.66,5.31,4.57,4.21,2457190.26,4.2,0,-10.0
35.77,10.83,-1.86,4.13,3.69,2.57,4.65,2456216.2,12.28,0,-10.0
47.75,7.34,-1.38,10.52,10.44,14.81,20.58,2456866.3,238.61,0,-9.0
35.61,10.79,-1.53,3.35,2.98,1.51,2.61,2456452.27,78.74,0,-9.0
32.9,13.18,-1.9,3.24,2.62,1.46,-5.52,2456954.19,4.2,0,-9.0
53.96,-1.08,-1.77,19.76,19.69,58.66,32.12,2455449.28,18.16,0,-12.0
48.14,11.58,-0.89,14.83,14.81,31.57,26.55,2456158.27,518.06,1,-6.0
24.47,39.61,-0.66,4.4,4.35,2.87,0.2,2459080.62,603.61,0,3.0
53.96,-1.08,-1.37,14.85,14.79,32.49,25.44,2455774.34,18.16,0,-10.0
37.48,57.33,-0.35,8.96,8.96,10.76,16.82,2456866.15,1063.38,0,-2.0
2.45,101.86,-1.25,2.88,2.59,1.25,1.35,2455063.97,24.98,0,-5.0
10.38,7.85,-0.33,4.47,4.46,2.69,-2.1,2456481.71,657.99,0,1.0
26.44,50.1,-1.35,2.73,2.37,1.02,1.81,2455182.08,5.58,0,-7.0
2.45,101.86,-1.29,1.3,0.19,0.23,-0.59,2454000.97,24.98,0,-5.0
10.62,10.03,-0.54,4.96,4.93,3.3,3.04,2455655.23,544.52,0,-2.0
37.39,46.24,0.02,8.37,8.38,10.67,12.9,2455419.17,1454.3,0,1.0
26.33,43.97,-0.41,6.11,6.1,5.03,8.85,2456482.17,602.36,0,-2.0
2.45,101.86,-1.33,2.47,2.09,0.93,-1.86,2452937.96,24.98,0,-5.0
-7.57,110.83,-1.06,4.6,4.48,3.11,-0.46,2457573.94,89.91,0,-5.0
-7.57,110.83,-1.06,4.6,4.48,3.11,-0.46,2457573.94,89.91,0,-5.0
35.38,5.37,-0.46,7.02,7.01,6.68,10.9,2456836.29,477.85,0,-3.0
26.33,43.97,-0.35,6.06,6.06,4.98,7.95,2456836.17,602.36,0,-2.0
31.9,51.87,0.45,5.19,5.17,3.7,4.44,2459287.12,1902.05,0,2.0
23.21,57.2,0.62,6.69,6.67,6.24,10.72,2456128.13,1965.31,0,3.0
53.96,-1.08,-0.98,18.71,18.69,52.88,30.69,2455833.24,18.16,0,-7.0
30.26,51.98,0.73,9.52,9.5,12.35,17.66,2456512.15,2238.22,1,3.0
20.24,41.46,0.58,5.09,5.06,3.85,4.06,2458254.16,1969.46,0,3.0
35.61,10.79,-0.74,7.0,6.97,6.59,11.38,2456482.28,78.74,0,-4.0
4.89,114.94,-1.0,5.02,4.92,3.73,-1.34,2458253.94,8.09,0,-4.0
26.33,43.97,-0.08,0.33,0.32,0.02,1.59,2456600.1,602.36,0,-1.0
10.62,10.03,-0.01,1.53,1.53,0.32,-1.14,2456924.71,544.52,0,0.0
32.89,3.76,-0.12,6.98,6.98,6.59,10.9,2456836.29,589.32,0,-1.0
27.52,41.7,0.24,6.33,6.33,5.91,9.68,2455507.11,991.4,0,1.0
26.33,43.97,0.03,8.71,8.72,11.42,12.47,2455803.15,602.36,0,0.0
35.61,10.79,-0.64,4.63,4.59,3.24,-3.31,2456304.18,78.74,0,-4.0
34.64,50.88,0.21,5.23,5.23,3.76,4.46,2459287.12,934.54,0,1.0
31.9,51.87,0.8,5.35,5.29,3.83,5.45,2458933.12,1902.05,0,4.0
31.9,51.87,0.76,8.17,8.14,9.21,14.4,2457220.16,1902.05,0,4.0
19.15,42.22,0.96,3.25,3.11,1.56,3.62,2447268.15,2217.59,0,4.0
10.62,10.03,0.04,3.81,3.81,2.18,5.06,2456216.21,544.52,0,0.0
32.49,3.68,-0.02,10.1,10.1,15.36,15.24,2455803.26,494.82,0,0.0
32.49,3.68,-0.02,10.1,10.1,15.36,15.24,2455803.26,494.82,0,0.0
53.96,-1.08,-0.7,15.74,15.73,34.65,31.12,2456542.28,18.16,0,-5.0
28.4,36.73,0.21,5.06,5.06,3.61,4.49,2452672.14,785.47,0,1.0
26.35,43.95,0.18,4.97,4.97,3.48,4.05,2452672.12,609.33,0,1.0
24.6,46.45,0.29,4.92,4.92,3.41,3.93,2452672.11,775.73,0,1.0
23.34,40.32,0.52,6.58,6.57,5.83,-12.55,2458548.65,903.17,1,-3.0
2.45,101.86,-0.54,0.55,0.12,0.04,0.62,2453646.96,24.98,0,-3.0
32.77,4.56,-0.11,6.95,6.95,6.54,10.82,2456836.29,316.44,0,0.0
32.06,35.03,-0.17,5.41,5.4,4.34,4.76,2458254.19,281.61,0,-1.0
25.02,67.45,-0.24,5.68,5.68,4.76,7.96,2455507.03,170.79,0,-1.0
25.25,45.25,0.41,6.22,6.21,5.7,9.48,2455507.1,711.85,0,2.0
23.59,58.38,-0.49,0.49,0.04,0.04,0.62,2456600.06,9.15,0,-3.0
-7.57,110.83,-0.25,0.49,0.42,0.03,1.57,2457632.94,89.91,0,-1.0
-7.57,110.83,-0.25,0.49,0.42,0.03,1.57,2457632.94,89.91,0,-1.0
30.46,31.18,-0.46,6.37,6.35,5.5,8.9,2456836.21,14.24,0,-3.0
43.86,18.42,0.31,5.68,5.68,4.44,6.57,2459287.21,536.1,0,2.0
26.35,43.95,0.3,6.26,6.25,5.77,9.53,2455507.1,609.33,0,2.0
25.62,45.62,0.49,8.18,8.17,9.87,12.91,2456187.13,719.4,0,2.0
49.07,13.1,0.46,15.21,15.21,32.36,30.17,2456542.24,689.77,1,3.0
24.6,46.45,0.45,6.18,6.17,5.63,9.41,2455507.1,775.73,0,2.0
22.9,39.41,0.1,0.39,0.38,0.02,1.94,2456600.12,251.0,0,0.0
32.9,13.18,-0.24,1.23,1.21,0.2,-1.87,2457278.7,4.2,0,2.0
34.36,-2.96,0.57,1.01,0.83,0.14,-3.37,2457632.74,487.77,0,-2.0
33.8,35.66,0.77,8.61,8.58,11.29,13.47,2455419.19,1083.63,0,4.0
24.6,46.45,0.49,5.29,5.27,4.19,-4.86,2452199.11,775.73,0,2.0
21.42,39.83,0.11,0.36,0.35,0.02,1.95,2456600.12,325.21,0,1.0
53.96,-1.08,-0.42,8.93,8.93,11.48,16.96,2456571.23,18.16,0,-3.0
26.33,43.97,0.42,8.24,8.23,10.0,13.01,2456187.13,602.36,0,2.0
26.35,43.95,0.42,8.24,8.23,10.0,13.02,2456187.13,609.33,0,2.0
25.25,45.25,0.55,8.18,8.17,9.87,12.93,2456187.13,711.85,0,2.0
-7.57,110.83,-0.26,2.23,2.21,0.76,-0.73,2457485.95,89.91,0,-1.0
31.9,51.87,1.14,5.53,5.41,4.19,6.21,2458579.13,1902.05,0,6.0
53.96,-1.08,-0.33,12.53,12.52,23.8,20.78,2455862.2,18.16,0,-3.0
27.52,41.7,0.77,4.1,4.03,2.29,8.99,2456925.14,991.4,0,4.0
24.64,46.72,0.43,6.17,6.16,5.61,9.38,2455507.09,584.98,0,2.0
24.47,39.61,0.42,8.79,8.78,11.63,12.73,2455803.16,603.61,0,2.0
4.89,114.94,-0.38,4.75,4.74,3.03,3.39,2456481.94,8.09,0,-2.0
4.89,114.94,-0.45,4.89,4.87,3.24,2.46,2456835.94,8.09,0,-2.0
2.33,102.29,-0.34,4.83,4.82,3.46,-0.55,2458253.97,40.36,0,-1.0
43.9,18.4,0.72,5.78,5.74,4.51,8.63,2452318.18,834.4,0,5.0
43.9,18.4,0.72,5.78,5.74,4.51,8.63,2452318.18,834.4,0,5.0
24.6,46.45,0.61,8.14,8.12,9.76,12.85,2456187.13,775.73,0,3.0
10.62,10.03,0.48,0.56,0.3,0.05,2.59,2457811.23,544.52,0,2.0
26.33,43.97,0.59,7.07,7.05,6.97,11.64,2456128.17,602.36,0,3.0
31.53,35.09,0.91,4.19,4.09,2.54,6.75,2458638.2,907.54,0,4.0
26.35,43.95,0.59,7.07,7.05,6.98,11.64,2456128.17,609.33,0,3.0
28.4,36.73,0.84,4.74,4.67,3.02,2.47,2449040.15,785.47,0,4.0
28.4,36.73,0.84,4.74,4.67,3.02,2.47,2449040.15,785.47,0,4.0
27.52,41.7,0.9,0.94,0.27,0.13,1.85,2452938.11,991.4,0,4.0
25.62,45.62,0.64,7.01,6.98,6.85,11.51,2456128.16,719.4,0,3.0
24.6,46.45,0.74,6.96,6.92,6.76,11.43,2456128.16,775.73,0,4.0
32.6,51.7,1.56,12.28,12.18,20.8,-23.7,2452700.62,1651.72,0,-8.0
24.39,39.63,0.67,6.35,6.32,5.94,9.87,2455507.11,654.81,0,4.0
29.94,40.74,0.84,3.23,3.12,1.57,-2.44,2458371.15,679.18,0,4.0
-7.57,110.83,0.03,2.83,2.83,1.16,0.43,2458637.94,89.91,0,0.0
2.33,102.29,-0.07,2.9,2.9,1.21,1.26,2458637.97,40.36,0,0.0
37.23,-80.41,0.76,13.05,13.04,25.63,20.94,2455803.5,634.3,0,4.0
37.23,-80.41,0.76,9.21,9.18,11.4,17.6,2456482.54,634.3,0,4.0
31.95,35.92,0.78,9.94,9.92,13.49,18.72,2456512.19,820.71,1,4.0
-33.93,18.42,-0.01,10.52,10.52,14.82,20.55,2455626.22,30.49,0,0.0
31.95,35.92,0.97,9.3,9.26,11.6,18.02,2456866.2,820.71,1,4.0
21.42,39.83,0.37,4.49,4.48,3.06,5.08,2452997.12,325.21,0,2.0
32.49,3.68,0.67,8.3,8.28,9.62,14.54,2456128.29,494.82,0,3.0
33.32,-2.42,1.04,6.03,5.94,5.41,7.37,2458254.3,1190.16,0,6.0
28.4,36.73,0.81,4.24,4.16,2.45,9.32,2456925.15,785.47,0,4.0
-33.93,18.42,0.0,10.53,10.53,15.11,20.05,2455272.21,30.49,0,0.0
26.35,43.95,0.8,4.02,3.94,2.2,8.82,2456925.13,609.33,0,3.0
10.62,10.03,0.63,5.31,5.27,3.92,5.1,2455301.23,544.52,0,3.0
50.83,8.93,0.31,12.19,12.19,22.54,20.28,2455862.18,215.16,0,3.0
2.52,101.79,-0.07,2.9,2.9,1.21,1.29,2458637.97,6.23,0,-1.0
32.06,35.03,0.42,4.14,4.12,2.57,7.02,2457958.2,281.61,0,2.0
31.9,51.87,1.56,1.58,0.3,0.34,4.91,2459376.16,1902.05,0,9.0
32.07,36.09,0.85,4.17,4.09,2.53,6.69,2458638.2,619.33,0,4.0
21.42,39.83,0.58,5.18,5.14,3.92,-4.63,2451815.14,325.21,0,2.0
24.72,46.67,0.86,4.55,4.47,3.13,1.34,2457043.11,627.1,0,4.0
-33.93,18.42,0.1,7.47,7.47,7.5,14.83,2455242.24,30.49,0,0.0
24.72,46.67,0.84,3.92,3.83,2.1,8.64,2456925.12,627.1,0,4.0
24.0,38.2,-0.01,6.13,6.13,5.05,9.08,2456482.18,3.75,0,-1.0
-7.57,110.83,0.11,4.8,4.8,3.41,-1.33,2458253.94,89.91,0,1.0
36.72,10.34,0.28,5.87,5.87,5.13,6.56,2458254.27,89.47,0,1.0
25.62,45.62,0.81,3.96,3.88,2.14,8.72,2456925.12,719.4,0,4.0
25.62,45.62,0.96,4.54,4.43,3.11,1.39,2457043.11,719.4,0,4.0
24.39,39.63,0.93,7.12,7.06,7.08,11.87,2456128.18,654.81,0,4.0
25.25,45.25,0.95,4.54,4.44,3.12,1.43,2457043.11,711.85,0,4.0
31.95,35.92,1.04,8.53,8.47,11.09,13.39,2455419.19,820.71,0,5.0
23.56,46.39,1.04,3.13,2.95,1.44,3.35,2447268.14,781.78,0,5.0
24.76,46.84,0.86,4.55,4.47,3.13,1.33,2457043.11,579.8,0,4.0
32.9,13.18,-0.01,0.75,0.75,0.08,2.07,2457811.21,4.2,0,0.0
48.81,9.16,0.56,18.27,18.27,50.49,30.08,2455833.22,278.78,0,4.0
2.3,102.08,-0.03,0.63,0.63,0.06,2.23,2457632.97,9.07,0,0.0
42.36,-71.06,0.19,0.26,0.18,0.01,-1.77,2459375.88,9.17,0,-1.0
31.95,35.92,1.14,8.54,8.47,10.06,15.41,2457220.2,820.71,0,6.0
2.45,101.86,0.14,4.89,4.89,3.25,3.26,2456835.98,24.98,0,0.0
35.38,5.37,0.75,10.83,10.81,16.01,20.84,2456512.28,477.85,0,4.0
48.14,11.58,1.05,12.19,12.15,21.75,-22.01,2457839.71,518.06,1,-6.0
2.45,101.86,0.19,4.79,4.79,3.09,4.2,2456481.98,24.98,0,1.0
27.52,41.7,1.23,4.5,4.32,3.05,1.61,2457043.12,991.4,0,6.0
-33.93,18.42,0.09,10.44,10.44,15.05,18.97,2455980.23,30.49,0,1.0
47.58,12.17,0.93,18.16,18.14,49.85,29.91,2455833.21,489.49,0,6.0
25.29,51.54,-0.02,8.43,8.43,10.7,11.88,2455803.12,6.23,0,0.0
25.62,45.62,1.14,3.67,3.48,1.93,7.07,2455744.17,719.4,0,5.0
50.83,8.93,0.68,5.19,5.15,4.06,9.36,2455891.15,215.16,0,5.0
9.41,-0.84,0.51,5.27,5.24,3.95,4.35,2457190.27,195.75,0,2.0
24.54,39.63,1.0,4.91,4.8,3.35,3.31,2455301.16,612.25,0,5.0
26.35,43.95,1.07,4.52,4.39,3.09,1.47,2457043.11,609.33,0,5.0
-33.93,18.42,0.26,8.04,8.04,8.77,15.35,2455596.24,30.49,0,1.0
53.79,-1.75,0.46,5.51,5.49,4.57,9.83,2455891.17,100.0,0,4.0
26.33,43.97,1.11,2.59,2.34,0.93,6.42,2457633.15,602.36,0,5.0
-37.81,144.96,0.11,3.46,3.46,1.62,7.44,2458135.91,9.03,0,1.0
28.4,36.73,1.22,4.02,3.84,2.32,7.77,2455744.2,785.47,0,6.0
4.89,114.94,0.17,1.52,1.51,0.31,3.67,2457278.93,8.09,0,1.0
48.14,11.58,0.98,5.15,5.05,3.99,9.38,2455891.15,518.06,0,8.0
4.89,114.94,0.04,2.17,2.17,0.64,4.04,2456924.93,8.09,0,1.0
10.62,10.03,0.89,2.75,2.61,1.03,5.05,2455182.21,544.52,0,5.0
26.28,43.87,1.15,3.53,3.34,1.68,8.58,2457279.14,636.26,0,5.0
24.6,46.45,1.17,3.6,3.41,1.86,6.98,2455744.16,775.73,0,6.0
26.37,49.82,0.25,8.05,8.04,9.55,12.56,2456187.11,6.73,0,1.0
5.59,-0.23,0.47,3.67,3.64,1.94,-4.28,2458637.74,29.21,0,-2.0
21.42,39.83,0.8,4.94,4.87,3.43,4.42,2452672.14,325.21,0,4.0
21.42,39.83,0.86,8.71,8.67,11.42,12.65,2455803.16,298.57,0,3.0
50.45,3.95,0.4,5.67,5.65,4.66,9.81,2458638.33,52.14,0,3.0
36.19,5.4,1.46,4.0,3.72,2.21,9.16,2457633.26,1071.71,0,7.0
-33.93,18.42,0.37,6.44,6.43,5.67,11.14,2457752.25,30.49,0,2.0
2.3,102.08,0.2,4.78,4.78,3.08,4.17,2456481.98,9.07,0,1.0
35.61,10.79,0.55,1.39,1.28,0.29,3.53,2456600.18,78.74,0,3.0
21.42,39.83,1.01,1.63,1.28,0.4,4.19,2452082.17,325.21,0,5.0
-7.57,110.83,0.93,0.93,0.06,0.13,-3.24,2457456.45,89.91,0,-3.0
-7.57,110.83,0.93,0.93,0.06,0.13,-3.24,2457456.45,89.91,0,-3.0
26.33,43.97,1.19,2.97,2.72,1.35,4.08,2457486.15,602.36,0,6.0
21.42,39.83,0.89,4.6,4.51,3.2,1.87,2457043.13,325.21,0,4.0
24.39,39.63,1.37,3.8,3.54,2.07,7.42,2455744.18,654.81,0,6.0
-7.57,110.83,0.58,1.39,1.26,0.26,3.91,2457278.94,89.91,0,2.0
-7.57,110.83,0.89,1.94,1.72,0.51,-3.79,2458135.44,89.91,0,-4.0
28.4,36.73,1.47,4.48,4.23,3.03,1.91,2457043.13,785.47,0,7.0
53.96,-1.08,0.51,11.12,11.11,18.39,17.54,2457545.36,18.16,0,4.0
21.42,39.83,1.01,6.31,6.23,5.87,9.89,2455507.12,325.21,0,5.0
21.42,39.83,1.01,6.31,6.23,5.87,9.89,2455507.12,298.57,0,5.0
35.38,5.37,1.25,1.65,1.08,0.42,-2.13,2456274.77,477.85,0,-8.0
48.14,11.58,1.3,14.51,14.46,31.64,-23.84,2457543.63,518.06,1,-9.0
28.4,36.73,1.46,4.86,4.64,3.29,3.57,2455301.17,785.47,0,7.0
37.23,-80.41,1.3,4.77,4.59,3.11,10.16,2455182.43,634.3,0,8.0
9.06,7.49,1.25,5.03,4.87,3.82,4.36,2457043.23,472.61,0,5.0
-7.57,110.83,0.57,4.02,3.98,2.17,4.36,2458105.95,89.91,0,3.0
10.62,10.03,1.26,5.37,5.22,4.22,6.82,2457574.24,544.52,0,5.0
-7.57,110.83,0.68,4.54,4.49,2.77,3.34,2456481.94,89.91,0,3.0
53.96,-1.08,0.56,11.89,11.88,19.9,23.25,2457604.33,18.16,0,4.0
35.61,10.79,0.62,10.67,10.66,15.55,20.44,2456512.26,78.74,0,4.0
35.61,10.79,0.62,10.67,10.66,15.55,20.44,2456512.26,78.74,0,4.0
34.7,-1.91,1.29,5.81,5.66,5.11,6.62,2457870.29,544.37,0,7.0
31.9,51.87,2.13,5.35,4.9,4.15,8.97,2459228.08,1902.05,0,12.0
28.4,36.73,1.53,8.39,8.25,10.72,13.23,2455419.18,785.47,0,7.0
53.96,-1.08,0.61,11.14,11.13,18.78,18.19,2457929.36,18.16,0,5.0
-7.57,110.83,0.64,4.67,4.63,2.97,2.39,2456835.94,89.91,0,3.0
-7.57,110.83,0.63,2.04,1.94,0.57,4.34,2456924.94,89.91,0,3.0
27.52,41.7,1.59,7.0,6.82,6.97,13.17,2453677.11,991.4,0,8.0
2.45,101.86,0.52,2.33,2.27,0.74,4.91,2456924.97,24.98,0,2.0
2.45,101.86,0.6,1.71,1.6,0.39,4.54,2457278.97,24.98,0,2.0
32.49,3.68,1.33,10.8,10.72,15.91,20.86,2456512.28,494.82,0,6.0
24.47,39.61,1.48,5.16,4.95,3.67,5.22,2459287.15,603.61,0,6.0
29.16,36.08,1.44,8.43,8.31,10.82,13.29,2455419.19,718.04,0,7.0
2.3,102.08,0.6,1.7,1.59,0.39,4.51,2457278.97,9.07,0,2.0
10.62,10.03,1.27,4.96,4.8,3.73,4.15,2457043.22,544.52,0,6.0
35.34,5.73,1.55,5.73,5.51,4.5,7.46,2459287.24,859.3,0,8.0
35.61,10.79,0.87,10.0,9.96,13.4,19.76,2456866.27,78.74,0,4.0
30.9,35.8,1.6,3.5,3.11,1.83,7.11,2452613.11,869.29,0,9.0
30.9,35.8,1.6,3.5,3.11,1.83,7.11,2452613.11,869.29,0,9.0
36.86,10.19,0.66,10.05,10.02,13.52,19.83,2456866.27,13.23,0,3.0
27.52,41.7,1.8,5.23,4.91,3.69,7.46,2452318.13,991.4,0,9.0
21.42,39.83,1.22,4.04,3.85,2.23,9.08,2456925.14,325.21,0,5.0
32.9,13.18,0.52,5.71,5.69,4.85,6.2,2458254.25,4.2,0,3.0
48.14,11.58,1.38,12.84,12.77,22.21,27.68,2457250.27,518.06,1,9.0
32.89,3.76,1.47,10.11,10.01,13.7,20.18,2456866.29,589.32,0,8.0
33.59,-7.12,1.18,6.11,6.0,5.55,7.63,2458254.31,266.8,0,6.0
23.59,58.38,0.71,2.63,2.54,1.06,3.03,2457486.1,9.15,0,3.0
22.57,59.53,0.56,3.47,3.43,1.75,4.7,2458638.11,10.36,0,3.0
21.42,39.83,1.29,7.02,6.9,6.88,11.74,2456128.17,325.21,0,6.0
21.42,39.83,1.29,7.02,6.9,6.88,11.74,2456128.17,298.57,1,6.0
43.86,18.42,1.55,6.28,6.09,5.73,10.63,2459228.15,536.1,0,10.0
21.42,39.83,1.22,8.25,8.16,10.05,13.25,2456187.14,325.21,0,6.0
23.59,58.38,0.62,3.58,3.53,1.75,7.8,2456925.09,9.15,0,3.0
37.23,-80.41,1.52,10.86,10.76,16.5,20.35,2456128.53,634.3,0,9.0
4.89,114.94,0.77,5.01,4.95,3.5,6.23,2456127.94,8.09,0,3.0
26.44,50.1,0.62,3.83,3.78,2.0,8.35,2456925.11,5.58,0,3.0
29.27,47.5,1.02,9.55,9.5,12.45,17.82,2456512.15,154.57,0,5.0
0.8,104.75,0.77,3.62,3.54,2.0,0.48,2458725.96,7.11,0,3.0
34.45,35.82,0.7,4.22,4.16,2.58,6.73,2458638.2,5.95,0,4.0
8.0,124.29,1.6,5.95,5.74,4.91,8.76,2457219.92,722.67,0,7.0
34.64,50.88,1.81,5.36,5.05,4.18,8.89,2459228.08,934.54,0,11.0
24.64,46.72,1.57,1.57,0.08,0.33,4.9,2459376.16,584.98,0,8.0
32.07,36.09,1.6,5.73,5.5,4.5,7.2,2458579.17,619.33,0,8.0
26.35,43.95,1.7,8.95,8.78,10.73,17.29,2456866.17,609.33,0,8.0
32.89,3.76,1.69,3.96,3.59,2.17,9.18,2457633.26,589.32,0,8.0
2.33,102.29,0.95,4.72,4.63,3.3,6.08,2455506.96,40.36,0,4.0
48.14,11.58,1.75,7.55,7.34,8.1,-11.82,2456156.67,518.06,1,-12.0
32.49,3.68,1.55,10.1,9.98,13.67,20.17,2456866.29,494.82,0,8.0
48.14,11.58,1.61,11.25,11.13,17.83,22.13,2457604.29,518.06,1,10.0
33.35,44.48,0.83,5.42,5.36,3.94,5.83,2458933.14,34.75,0,5.0
5.59,-0.23,0.81,5.17,5.11,3.81,4.18,2457190.26,29.21,0,4.0
5.59,-0.23,0.81,5.17,5.11,3.81,4.18,2457190.26,29.21,0,4.0
32.9,13.18,0.88,2.47,2.31,0.91,2.12,2457427.2,4.2,0,4.0
28.4,36.73,1.87,4.88,4.51,3.21,7.22,2451964.15,785.47,0,9.0
26.37,49.82,0.84,4.54,4.46,3.11,1.01,2457043.09,6.73,0,4.0
25.07,67.2,1.2,7.21,7.11,7.91,11.07,2455419.09,101.01,0,5.0
28.4,36.73,1.78,2.8,2.17,1.16,6.27,2454680.19,785.47,0,9.0
21.42,39.83,1.5,3.55,3.22,1.69,8.8,2457279.15,325.21,0,6.0
32.9,13.18,0.92,4.91,4.83,3.3,10.8,2456925.21,4.2,0,4.0
37.24,-80.43,1.79,10.01,9.85,14.69,17.54,2455507.43,648.12,0,11.0
32.51,35.3,1.19,5.5,5.37,4.06,6.45,2458933.16,92.07,0,6.0
36.9,10.12,0.97,9.33,9.28,11.99,17.26,2457220.28,40.0,0,6.0
21.43,39.81,1.38,2.6,2.21,0.94,6.61,2457633.15,275.11,0,6.0
27.52,41.7,2.06,2.87,2.0,1.19,1.89,2456984.1,991.4,0,10.0
30.02,47.72,1.06,8.93,8.87,10.7,17.09,2456866.16,23.72,0,5.0
26.35,43.95,1.67,6.91,6.71,6.8,13.02,2453677.1,609.33,0,9.0
24.81,46.65,1.76,9.47,9.31,12.25,17.8,2456512.15,654.25,0,8.0
37.23,-80.41,1.89,13.27,13.14,24.04,26.62,2456512.52,634.3,0,9.0
23.59,58.38,0.95,3.07,2.92,1.27,7.53,2457279.09,9.15,0,4.0
